minute,anomalias_por_minuto,fallas_tcp_bin,anomalias_log1p,anomalia_lag_1,tcp_lag_1,anomalia_lag_2,tcp_lag_2,anomalia_lag_3,tcp_lag_3,anomalia_lag_5,tcp_lag_5,anomalia_lag_10,tcp_lag_10,anomalia_lag_15,tcp_lag_15,anomalia_lag_30,tcp_lag_30,anomalia_lag_60,tcp_lag_60,anomalia_roll_3,anomalia_roll_5,anomalia_roll_10,anomalia_roll_20,tcp_roll_3,tcp_roll_5,anomalia_diff,tcp_diff
2025-11-29 23:24:00,36,0,3.6109179126442243,4.61512051684126,2.0,6.769641976852503,0.0,6.8690144506657065,1.0,5.8916442118257715,2.0,3.258096538021482,0.0,5.54907608489522,0.0,6.184148890937483,0.0,3.912023005428146,0.0,4.998560135445996,5.551267813765893,4.697801102252532,5.002415811329838,0.6666666666666666,1.0,-1.0042026041970353,-2.0
2025-11-29 23:25:00,441,2,6.091309882077698,3.6109179126442243,0.0,4.61512051684126,2.0,6.769641976852503,0.0,5.8916442118257715,2.0,2.302585092994046,0.0,4.709530201312334,0.0,4.976733742420574,3.0,0.6931471805599453,0.0,4.772449437187728,5.591200947816278,5.076673581160897,4.993337455106415,1.3333333333333333,1.0,2.4803919694334735,2.0
2025-11-29 23:26:00,441,5,6.091309882077698,6.091309882077698,2.0,3.6109179126442243,0.0,4.61512051684126,2.0,6.8690144506657065,1.0,2.302585092994046,2.0,6.184148890937483,0.0,5.54907608489522,7.0,4.976733742420574,0.0,5.264512558933206,5.435660034098676,5.455546060069262,5.020449144965538,2.3333333333333335,1.8,0.0,3.0
2025-11-29 23:27:00,729,1,6.593044534142437,6.091309882077698,5.0,6.091309882077698,2.0,3.6109179126442243,0.0,6.769641976852503,0.0,2.833213344056216,2.0,6.091309882077698,1.0,5.2832037287379885,4.0,4.406719247264253,0.0,6.2585547660992775,5.400340545556664,5.831529179077885,5.0790746217090454,2.6666666666666665,2.0,0.501734652064739,-4.0
2025-11-29 23:28:00,484,1,6.184148890937483,6.593044534142437,1.0,6.091309882077698,5.0,6.091309882077698,2.0,4.61512051684126,2.0,5.8916442118257715,3.0,5.420534999272286,0.0,4.804021044733257,5.0,0.6931471805599453,0.0,6.289501102385873,5.714146220375908,5.860779646989055,5.157526040413857,2.3333333333333335,1.8,-0.40889564320495353,0.0
2025-11-29 23:29:00,1444,12,7.275864600546533,6.184148890937483,1.0,6.593044534142437,1.0,6.091309882077698,5.0,3.6109179126442243,0.0,5.8916442118257715,2.0,3.258096538021482,0.0,5.66988092298052,5.0,3.258096538021482,3.0,6.684352675208817,6.447135557956369,5.999201685861131,5.243865466196422,4.666666666666667,4.2,1.0917157096090495,11.0
2025-11-29 23:30:00,625,5,6.439350371100098,7.275864600546533,12.0,6.184148890937483,1.0,6.593044534142437,1.0,6.091309882077698,2.0,5.8916442118257715,2.0,2.302585092994046,0.0,6.091309882077698,13.0,3.258096538021482,2.0,6.633121287528038,6.51674365576085,6.053972301788564,5.330356474685811,6.0,4.8,-0.8365142294464345,-7.0
2025-11-29 23:31:00,529,8,6.272877006546167,6.439350371100098,5.0,7.275864600546533,12.0,6.184148890937483,1.0,6.091309882077698,5.0,6.8690144506657065,1.0,2.302585092994046,2.0,4.406719247264253,0.0,0.6931471805599453,0.0,6.662697326064266,6.553057080654544,5.994358557376611,5.334792880466244,8.333333333333334,5.4,-0.1664733645539309,3.0
2025-11-29 23:32:00,289,7,5.66988092298052,6.272877006546167,8.0,6.439350371100098,5.0,7.275864600546533,12.0,6.593044534142437,1.0,6.769641976852503,0.0,2.833213344056216,2.0,1.6094379124341003,0.0,1.0986122886681098,0.0,6.127369433542262,6.3684243584221605,5.884382451989412,5.313721432511386,6.666666666666667,6.6,-0.6029960835656478,-1.0
2025-11-29 23:33:00,576,15,6.3578422665081,5.66988092298052,7.0,6.272877006546167,8.0,6.439350371100098,5.0,6.184148890937483,1.0,4.61512051684126,2.0,5.8916442118257715,3.0,6.272877006546167,0.0,4.61512051684126,3.0,6.100200065344929,6.403163033536283,6.058654626956097,5.360586795873177,10.0,9.4,0.6879613435275802,8.0
